transition_id,map_seed,split,policy_source,action_name,current_position,next_position,outcome,image_path,target_text
train_seed0000_greedy_t000,0,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0000_greedy_t001,0,train,greedy,Down,"[0, 1]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_001.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0000_greedy_t002,0,train,greedy,Right,"[1, 1]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_002.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0000_greedy_t003,0,train,greedy,Right,"[1, 2]","[1, 3]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_003.png,"<prediction>Position: (1, 3). Outcome: safe</prediction>"
train_seed0000_greedy_t004,0,train,greedy,Right,"[1, 3]","[1, 4]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_004.png,"<prediction>Position: (1, 4). Outcome: safe</prediction>"
train_seed0000_greedy_t005,0,train,greedy,Right,"[1, 4]","[1, 5]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_005.png,"<prediction>Position: (1, 5). Outcome: safe</prediction>"
train_seed0000_greedy_t006,0,train,greedy,Right,"[1, 5]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_006.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0000_greedy_t007,0,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_007.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0000_greedy_t008,0,train,greedy,Down,"[1, 7]","[2, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_008.png,"<prediction>Position: (2, 7). Outcome: safe</prediction>"
train_seed0000_greedy_t009,0,train,greedy,Down,"[2, 7]","[3, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_009.png,"<prediction>Position: (3, 7). Outcome: safe</prediction>"
train_seed0000_greedy_t010,0,train,greedy,Down,"[3, 7]","[4, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_010.png,"<prediction>Position: (4, 7). Outcome: safe</prediction>"
train_seed0000_greedy_t011,0,train,greedy,Left,"[4, 7]","[4, 6]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_011.png,"<prediction>Position: (4, 6). Outcome: safe</prediction>"
train_seed0000_greedy_t012,0,train,greedy,Right,"[4, 6]","[4, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_012.png,"<prediction>Position: (4, 7). Outcome: safe</prediction>"
train_seed0000_greedy_t013,0,train,greedy,Left,"[4, 7]","[4, 6]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_013.png,"<prediction>Position: (4, 6). Outcome: safe</prediction>"
train_seed0000_greedy_t014,0,train,greedy,Right,"[4, 6]","[4, 7]",safe,results/A3_dataset_collection/images/train/seed_0000/greedy/ep_000_step_014.png,"<prediction>Position: (4, 7). Outcome: safe</prediction>"
train_seed0000_random_t000,0,train,random,Left,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_000.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0000_random_t001,0,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_001.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0000_random_t002,0,train,random,Down,"[1, 0]","[2, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_002.png,"<prediction>Position: (2, 0). Outcome: safe</prediction>"
train_seed0000_random_t003,0,train,random,Left,"[2, 0]","[2, 0]",wall,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_003.png,"<prediction>Position: (2, 0). Outcome: wall</prediction>"
train_seed0000_random_t004,0,train,random,Right,"[2, 0]","[2, 1]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_004.png,"<prediction>Position: (2, 1). Outcome: safe</prediction>"
train_seed0000_random_t005,0,train,random,Left,"[2, 1]","[2, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_005.png,"<prediction>Position: (2, 0). Outcome: safe</prediction>"
train_seed0000_random_t006,0,train,random,Up,"[2, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_006.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0000_random_t007,0,train,random,Down,"[1, 0]","[2, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_007.png,"<prediction>Position: (2, 0). Outcome: safe</prediction>"
train_seed0000_random_t008,0,train,random,Down,"[2, 0]","[3, 0]",hole,results/A3_dataset_collection/images/train/seed_0000/random/ep_000_step_008.png,"<prediction>Position: (3, 0). Outcome: hole</prediction>"
train_seed0000_random_t009,0,train,random,Up,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_000.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0000_random_t010,0,train,random,Left,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_001.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0000_random_t011,0,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_002.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0000_random_t012,0,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_003.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0000_random_t013,0,train,random,Right,"[1, 0]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_004.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0000_random_t014,0,train,random,Left,"[1, 1]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0000/random/ep_001_step_005.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0001_greedy_t000,1,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0001_greedy_t001,1,train,greedy,Right,"[0, 1]","[0, 2]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_001.png,"<prediction>Position: (0, 2). Outcome: safe</prediction>"
train_seed0001_greedy_t002,1,train,greedy,Right,"[0, 2]","[0, 3]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_002.png,"<prediction>Position: (0, 3). Outcome: safe</prediction>"
train_seed0001_greedy_t003,1,train,greedy,Right,"[0, 3]","[0, 4]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_003.png,"<prediction>Position: (0, 4). Outcome: safe</prediction>"
train_seed0001_greedy_t004,1,train,greedy,Right,"[0, 4]","[0, 5]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_004.png,"<prediction>Position: (0, 5). Outcome: safe</prediction>"
train_seed0001_greedy_t005,1,train,greedy,Down,"[0, 5]","[1, 5]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_005.png,"<prediction>Position: (1, 5). Outcome: safe</prediction>"
train_seed0001_greedy_t006,1,train,greedy,Right,"[1, 5]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_006.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0001_greedy_t007,1,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_007.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0001_greedy_t008,1,train,greedy,Left,"[1, 7]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_008.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0001_greedy_t009,1,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_009.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0001_greedy_t010,1,train,greedy,Left,"[1, 7]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_010.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0001_greedy_t011,1,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_011.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0001_greedy_t012,1,train,greedy,Left,"[1, 7]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_012.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0001_greedy_t013,1,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_013.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0001_greedy_t014,1,train,greedy,Left,"[1, 7]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0001/greedy/ep_000_step_014.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0001_random_t000,1,train,random,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0001_random_t001,1,train,random,Left,"[0, 1]","[0, 0]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_001.png,"<prediction>Position: (0, 0). Outcome: safe</prediction>"
train_seed0001_random_t002,1,train,random,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_002.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0001_random_t003,1,train,random,Up,"[0, 1]","[0, 1]",wall,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_003.png,"<prediction>Position: (0, 1). Outcome: wall</prediction>"
train_seed0001_random_t004,1,train,random,Down,"[0, 1]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_004.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0001_random_t005,1,train,random,Right,"[1, 1]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_005.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0001_random_t006,1,train,random,Up,"[1, 2]","[0, 2]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_006.png,"<prediction>Position: (0, 2). Outcome: safe</prediction>"
train_seed0001_random_t007,1,train,random,Up,"[0, 2]","[0, 2]",wall,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_007.png,"<prediction>Position: (0, 2). Outcome: wall</prediction>"
train_seed0001_random_t008,1,train,random,Down,"[0, 2]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_008.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0001_random_t009,1,train,random,Left,"[1, 2]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_009.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0001_random_t010,1,train,random,Left,"[1, 1]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_010.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0001_random_t011,1,train,random,Right,"[1, 0]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_011.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0001_random_t012,1,train,random,Left,"[1, 1]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_012.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0001_random_t013,1,train,random,Down,"[1, 0]","[2, 0]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_013.png,"<prediction>Position: (2, 0). Outcome: safe</prediction>"
train_seed0001_random_t014,1,train,random,Up,"[2, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0001/random/ep_000_step_014.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0002_greedy_t000,2,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0002_greedy_t001,2,train,greedy,Right,"[0, 1]","[0, 2]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_001.png,"<prediction>Position: (0, 2). Outcome: safe</prediction>"
train_seed0002_greedy_t002,2,train,greedy,Down,"[0, 2]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_002.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0002_greedy_t003,2,train,greedy,Down,"[1, 2]","[2, 2]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_003.png,"<prediction>Position: (2, 2). Outcome: safe</prediction>"
train_seed0002_greedy_t004,2,train,greedy,Down,"[2, 2]","[3, 2]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_004.png,"<prediction>Position: (3, 2). Outcome: safe</prediction>"
train_seed0002_greedy_t005,2,train,greedy,Right,"[3, 2]","[3, 3]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_005.png,"<prediction>Position: (3, 3). Outcome: safe</prediction>"
train_seed0002_greedy_t006,2,train,greedy,Down,"[3, 3]","[4, 3]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_006.png,"<prediction>Position: (4, 3). Outcome: safe</prediction>"
train_seed0002_greedy_t007,2,train,greedy,Right,"[4, 3]","[4, 4]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_007.png,"<prediction>Position: (4, 4). Outcome: safe</prediction>"
train_seed0002_greedy_t008,2,train,greedy,Right,"[4, 4]","[4, 5]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_008.png,"<prediction>Position: (4, 5). Outcome: safe</prediction>"
train_seed0002_greedy_t009,2,train,greedy,Right,"[4, 5]","[4, 6]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_009.png,"<prediction>Position: (4, 6). Outcome: safe</prediction>"
train_seed0002_greedy_t010,2,train,greedy,Right,"[4, 6]","[4, 7]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_010.png,"<prediction>Position: (4, 7). Outcome: safe</prediction>"
train_seed0002_greedy_t011,2,train,greedy,Down,"[4, 7]","[5, 7]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_011.png,"<prediction>Position: (5, 7). Outcome: safe</prediction>"
train_seed0002_greedy_t012,2,train,greedy,Down,"[5, 7]","[6, 7]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_012.png,"<prediction>Position: (6, 7). Outcome: safe</prediction>"
train_seed0002_greedy_t013,2,train,greedy,Down,"[6, 7]","[7, 7]",goal,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_000_step_013.png,"<prediction>Position: (7, 7). Outcome: goal</prediction>"
train_seed0002_greedy_t014,2,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/greedy/ep_001_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0002_random_t000,2,train,random,Left,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_000.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0002_random_t001,2,train,random,Up,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_001.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
